Date,Open,High,Low,Close,Adj Close,Volume
2020-06-17,99.900002,104.500000,99.639999,104.500000,104.500000,2969362
2020-06-18,99.500000,101.900002,29.900000,39.900002,39.900002,39649131
2020-06-19,30.020000,33.709999,19.260000,25.820000,25.820000,36709624
2020-06-22,14.000000,18.700001,12.994000,14.440000,14.440000,22798589
2020-06-23,14.250000,18.840000,14.218000,17.158001,17.158001,17294025
2020-06-24,19.400000,19.799999,11.410000,12.302000,12.302000,19171946
2020-06-25,11.530000,12.020000,2.500000,3.533000,3.533000,45015773
2020-06-26,2.250000,2.490000,1.080200,1.281000,1.281000,42333058
2020-06-29,1.700000,4.048500,1.660000,3.260000,3.260000,41428570
2020-06-30,5.100000,9.199000,4.550000,5.730000,5.730000,42780134
2020-07-01,5.000000,5.543000,3.950000,4.800000,4.800000,14227141
2020-07-02,3.180000,4.090000,3.000000,3.100000,3.100000,16807514
2020-07-03,3.410000,3.640000,3.174500,3.226500,3.226500,7340654
2020-07-06,2.879000,2.970000,2.462500,2.560500,2.560500,9023924
2020-07-07,2.345500,3.448500,2.032500,3.148500,3.148500,12927682
2020-07-08,3.039000,3.238000,2.700000,2.778500,2.778500,9325815
2020-07-09,2.660000,2.900000,2.460000,2.480000,2.480000,3901305
2020-07-10,2.632500,2.650000,2.300000,2.335000,2.335000,3079259
2020-07-13,2.449500,2.589000,2.360500,2.438000,2.438000,2555861
2020-07-14,2.423500,2.450000,2.330000,2.385000,2.385000,1594394
2020-07-15,2.358000,2.418500,2.200000,2.212000,2.212000,2580963
2020-07-16,2.180000,2.221500,1.980400,2.095000,2.095000,3477631
2020-07-17,2.021500,2.052500,1.901200,1.976400,1.976400,3847380
2020-07-20,null,null,null,null,null,null
2020-07-21,1.530000,2.040000,1.520000,1.803600,1.803600,6302488
2020-07-22,1.800000,2.020000,1.710000,1.807600,1.807600,4017479
2020-07-23,1.760000,1.785000,1.660000,1.679800,1.679800,1998067
